sig,formid,editor_id,n,cells,cx,cy,rg_units,hull_cells2
TREE,0009DAA1,TreePineShrub02Snow,1427,679,22707,38761,96416,4427.4
TREE,0006C9D5,TreeAspen02,1393,372,143155,-85546,40249,574.0
TREE,0006C9D4,TreeAspen03,1393,392,143444,-85143,41280,588.2
TREE,0005D2DA,TreePineForestSnowL02,1392,564,-48330,17322,129178,5537.4
MSTT,000197CA,FXAmbSnowBlowingDriftTip,1373,651,57795,48908,88602,4486.4
TREE,0005D2D8,TreePineForestSnowL04,1260,506,-47306,8841,137924,5572.7
TREE,000AAE8E,TreeReachShrub02,1231,374,-131043,12868,42629,1696.3
TREE,0009DAA2,TreePineShrub01Snow,1230,563,28843,45757,95150,3859.4
TREE,000BCF34,TreeFloraSnowberry01Snow,1230,544,44155,36646,101947,4385.7
STAT,00018BA5,RockL03,1195,851,-5870,34338,122345,5501.0
STAT,0004FF0E,TreeReachBranchPile01,1189,516,1831,76222,117415,3801.4
TREE,0009DAA5,TreeVineMaple01Snow,1189,463,33833,49336,94529,4101.5
IDLM,000140BD,PatrolIdleMarker,1155,357,3447,-1060,120300,4406.3
TREE,000B91F8,TreeFloraMountainFlower02Purple,1075,588,45496,-25507,123373,3956.7
TREE,0006A9E6,TreeAspen01,1055,329,146269,-85543,40353,583.8
TREE,000AAE81,TreeTundraShrub05,1043,315,-31833,6243,48546,778.2
TREE,000B8A64,TreeSwordFernCluster02,1025,439,34951,-42905,104937,2877.1
TREE,000B8A69,TreeReachBush02,1021,306,-136279,20630,37198,588.6
STAT,0001819B,RockM02,1010,612,-13416,19504,128503,5270.3
TREE,000BB948,TreeFloraJuniper01,980,318,-134534,15243,43985,1381.5
TREE,000BCF3F,TreeFloraMountainFlower02Blue,970,568,51195,-4608,125243,4143.9
STAT,0002695F,RockS02Snow,937,308,82313,46399,78792,3486.2
STAT,00086923,CoastDriftWood02,914,414,13860,61527,112962,3528.9
TREE,000B8A76,TreeReachCliffTree01,902,361,-106525,17769,64187,2776.6
STAT,00018195,RockM01,899,562,-19352,8952,124298,5314.4
STAT,0001B0A9,RockS03,884,371,28344,5365,116507,4498.9
STAT,0004FF0F,TreeReachBranchPile02,875,410,-38004,54616,100110,3714.2
TREE,0009DAA3,TreePineShrub01,861,407,30974,-19427,104517,3131.3
STAT,00018BA7,RockS02,826,370,10475,-4311,114255,4366.8
STAT,0001A6E2,RockL04,793,519,-31852,-2096,123864,4608.9
TREE,000B8F53,TreeTundraDriftWoodTree01,791,426,-22202,37011,96492,2863.4
TREE,000B8A73,TreeReachTree01,775,399,-99998,37246,66760,2235.1
STAT,0001B0A8,RockL05,766,521,-9313,-6457,107614,4156.0
STAT,0006F273,MountainTrimSlab,757,624,-12815,14860,145427,6660.7
TREE,000BCF3A,TreeFloraMountainFlower01Purple,756,477,12753,-15512,99736,3627.0
TREE,000B91F0,TreeFloraThistle01,751,413,3905,-21702,94289,2794.7
STAT,00025DA8,RockCliff03,735,542,-1865,3164,123181,5247.8
STAT,00000021,CollisionMarker,734,176,31622,-26497,132748,4400.4
TREE,000B8A74,TreeReachTree02,726,390,-104636,36038,65774,2094.2
TREE,0005FADA,TreeAspen04,719,252,146581,-83533,42347,508.5
STAT,000226BA,RockPileL01,711,498,49512,-37011,125474,4626.8
FLOR,0007EDF6,NordicBarnacleCluster01,704,333,42615,87358,119131,4107.8
TREE,000BB947,TreeFloraTundraCotton01,696,274,-19328,2767,51998,754.3
TREE,000AAE85,TreeTundraShrub07,688,243,-22665,5166,52611,846.5
TREE,000AAE7A,TreeTundraShrub02,685,240,-22221,2037,49146,1252.9
TREE,000BCF3D,TreeFloraMountainFlower01Blue,668,425,19362,-11945,97626,3757.6
STAT,0002695A,RockM01Snow,666,364,67202,35112,85225,4042.9
MSTT,000197C7,FXAmbSnowBlowingPlane,656,459,59729,53450,92733,4205.6
TREE,000B8A70,TreeReachFern03,646,173,-131930,13106,39474,794.9
STAT,0002695E,RockM02Snow,635,352,65955,38974,82093,4163.6
TREE,000BCF3E,TreeFloraMountainFlower02Red,614,366,74697,-48129,109913,3446.8
STAT,00086922,CoastDriftWood01,614,311,19361,87073,123702,3890.7
TREE,000AAE8D,TreeReachShrub01,609,222,-138632,34833,37135,873.1
STAT,00019AF7,RockM03,603,421,-30659,-4586,113659,4243.0
TREE,000AAE75,TreeYellowShrub03,588,308,-1087,-9851,92148,1575.8
STAT,00086929,CoastDriftWood03,588,289,32521,98744,111899,2448.0
FLOR,0007E8C6,SlaughterfishEggNest01,579,323,49422,66719,124951,4663.6
STAT,00020F37,RockPileM02Rocks01,575,354,57645,-35354,126106,4276.1
STAT,0001B0A7,RockM04,563,402,-3933,25630,129675,5304.4
STAT,0003E4AE,TreeTundraDriftWood02,561,359,-11530,42657,110841,3618.0
TREE,000AAE73,TreeYellowShrub01,552,287,59468,-43167,106968,1686.2
STAT,0005C19C,RockPileM02Snow,551,378,59248,29192,84380,3874.6
TREE,000A7312,TreePineShrub03,546,255,35485,-27598,99228,2652.7
TREE,000B8A6F,TreeReachFern02,545,170,-139868,25082,36375,514.7
TREE,000BB94A,TreeFloraCanisRoot01,542,352,80625,-30050,128196,2698.4
CONT,00000845,BarrelFood01,531,187,17052,18328,122527,4449.9
STAT,00000017,PlaneMarker,525,193,-9603,-12112,119100,3754.1
STAT,0002695B,RockL02Snow,524,353,43726,28261,98555,4444.4
FURN,000613A6,PickaxeMiningFloorMarker,522,495,58902,14997,108453,4963.1
STAT,000201F4,MountainCliff02,519,457,-31714,-10929,125393,5844.3
TREE,000AAE87,TreeTundraShrub08,514,203,-20995,10156,56229,743.4
STAT,00000032,COCMarkerHeading,511,511,8635,4629,120958,4799.6
TREE,000A7313,TreePineShrub03Snow,510,262,30106,37740,97562,3731.3
TREE,000B8A65,TreeSwordFernCluster03,505,267,72100,-38607,101267,2603.9
STAT,0002695C,RockL01Snow,500,336,59482,48837,84194,4231.0
STAT,0006021F,SnowDriftM01,496,326,53838,59053,86913,3832.3
ACTI,0006B2FF,critterSpawnPond_Shallow,491,306,-11494,13504,112502,2879.4
STAT,00024F39,RockPileS02Rocks01Snow,490,261,55824,61528,62606,2756.6
ACTI,0010638E,critterSpawnPond_Deep_FishOnly,479,335,21309,113678,106749,3557.8
STAT,000008A7,FenceWoven02,479,49,4279,-11661,101542,2843.1
TREE,000B8A57,TreeReachBush01,477,188,-139888,35191,33873,540.9
TREE,000BCF3C,TreeFloraMountainFlower01Red,468,285,43829,-39283,104120,3095.0
TREE,0001306D,TreePineForest01,458,263,6883,-51993,80367,2579.9
TREE,0001BB3D,TreeFloraLavender01,453,242,-29729,12240,61678,1156.3
ACTI,0002F245,FXcameraAttachEffectsACT,444,423,97830,-16686,95053,3048.2
TREE,000B8A77,TreeReachCliffTree02,440,237,-87958,37096,68500,2005.2
TREE,000BE3E6,TreeGourdCluster01,414,260,130180,-77940,59822,2070.6
STAT,00026960,RockPileS01Snow,402,234,39138,59658,74941,3388.1
ACTI,000C5209,critterSpawnInsects_Many,401,358,-18077,-1757,94803,2709.3
STAT,0001EF47,RockM03Snow,393,233,52315,17900,92534,3250.0
TREE,000AAE7B,TreeTundraShrub03,389,218,-35444,7619,56422,737.9
STAT,00018198,RockS01,387,213,23552,-12481,104109,4098.7
STAT,000AE720,IceFloes01,384,304,66148,128790,96564,1540.6
STAT,0010C0E3,Barrel02Static,381,142,19073,23671,126969,4497.4
STAT,000BB7AC,RockPileS03Snow01Heavy_SN,378,208,41678,50106,70322,2704.3
STAT,0002B903,RockCliff06,374,281,-7840,10364,124350,4706.8
STAT,00060220,SnowDriftM02,372,269,48420,41872,91728,3776.3
STAT,00024BDD,RockPileS01Rocks01,360,197,45768,-12969,119451,3548.4
STAT,000233EF,RockPileM02,356,206,-13477,-13201,101457,3977.8
FURN,000613A7,PickaxeMiningTableMarker,354,341,24973,4241,123701,5155.8
TREE,000B8A59,TreeSwordFernCluster01,353,170,16178,-34986,86083,2076.6
TREE,000BE3E1,TreeFloraSpikyGrass02,352,191,5629,115136,99040,2805.0
TREE,000B8A62,TreeClover01,351,62,-10049,-23455,87905,1702.6
STAT,00018BA6,RockPileS02,350,208,-14475,4302,101062,3486.0
STAT,00024BAD,RockCliff03Snow,345,266,43363,49407,94135,4355.8
TREE,000BB949,TreeFloraJazBay01,344,112,130986,-11815,17831,108.4
STAT,000332C7,RockPileL01TundraRocks,343,234,-34785,9971,52795,882.9
TREE,000B73BC,TreeSwordFern03,343,138,97378,-48807,102691,1600.1
STAT,00032A94,RockPileL01Snow,332,249,45881,33230,107410,4331.2
STAT,00000010,MapMarker,330,330,16661,9413,122625,4819.6
STAT,00029D98,RockCliff04,330,264,7389,-7255,131319,5095.5
TREE,000B8A6A,TreeFallForestFernCluster01,325,92,161375,-97904,35644,423.7
STAT,000196EF,RockPileS01,324,204,-2992,-10898,97580,3265.2
TREE,000BB951,TreeFloraHangingMoss03,319,135,-142200,26427,32805,837.3
TREE,000AAE89,TreeTundraShrub09,317,159,-32048,3935,50820,715.1
STAT,0001C42F,RoadStraight01,309,185,2819,-8482,99819,2750.1
STAT,000201F7,MountainCliff02_HeavySN,308,286,53055,1434,118622,5913.2
STAT,0001814D,RoadChunkS02,307,129,13401,-26717,85467,2683.4
STAT,0001814E,RoadChunkS03,307,122,13608,-32220,86102,2874.8
TREE,000B927E,TreePineForest05Dead,306,125,9090,47968,92154,2150.2
TREE,000B8A6E,TreeReachFern01,306,127,-131490,20424,43654,795.8
TREE,000AAE8B,TreeTundraShrub10,302,121,-26128,7217,49893,680.6
TREE,0009DAA4,TreeVineMaple01,298,150,41984,-33828,129912,2847.7
MSTT,0002BCA7,FXSplashSmallParticlesLong,294,113,5822,-13719,100569,2773.8
MSTT,0002BCA5,FXSplashSmallParticles,290,76,-4041,-12940,103369,1838.9
TREE,000BB94E,TreeFloraDragonsTongue02,290,114,132366,-12375,18526,157.4
STAT,0003B6A3,MountainTrim01_HeavySN,285,234,53922,-5695,108656,5313.9
STAT,0001812A,RoadChunkL01,283,165,-7135,-3906,103691,2712.0
STAT,0002C69B,RoadChunkM02,282,160,-6563,-4399,97875,2859.7
STAT,0006F275,MountainTrimSlab_LightSN,277,254,10969,9021,141989,6477.3
FLOR,00085F83,ClamLarge01,277,160,31556,121332,86892,3415.8
STAT,00028A62,NorTmpExtPlatFloorRaised01,276,54,-67959,6131,117752,2699.6
STAT,000CC75E,IcePileM02,272,107,105713,93671,37759,1191.3
TREE,000AAE7F,TreeTundraShrub04,271,167,-32597,9136,53184,689.4
STAT,0001814C,RoadChunkS01,270,134,8232,-19905,86164,2880.6
STAT,000AF8E0,RockPileS03,269,173,-10535,7548,106638,2691.3
STAT,00026959,RockL03Snow,268,197,46879,33907,94807,3493.2
STAT,00024B9B,RockL05Snow,267,198,34373,30406,92809,3779.5
TREE,000BB94D,TreeFloraDragonsTongue01,267,118,131471,-11910,18050,152.1
STAT,00024E22,RockPileS02Rocks01,263,159,55990,-11432,121223,3526.4
FLOR,00085F82,ClamThin01,261,160,32783,122523,86031,3474.4
STAT,000BB7AD,RockPileS04Snow01Heavy_SN,255,169,37135,41037,78159,3068.6
FLOR,00085F80,Clam01,254,144,17668,116203,100050,3548.1
STAT,00024E8F,RockPileM02FieldGrass01Moss,251,162,-36141,611,44441,604.6
STAT,00030204,MountainTrim01_LightSN,247,203,29894,9151,129593,4492.4
TREE,000BCF33,TreeFloraSnowberry01,239,177,78565,3217,87632,3316.2
TREE,000B73BE,TreeSwordFern04,236,103,77037,-32848,101747,1617.2
TREE,000BCF47,TreeFloraPotatoPlant01,235,28,-10645,1805,115026,3161.9
STAT,0001EF55,RockL04Snow,234,170,34980,24005,96106,3872.7
STAT,0001812D,RoadChunkL02,234,145,3979,-11932,100558,2741.5
STAT,0001812F,RoadChunkL03,231,134,-5134,-12117,92211,2595.3
STAT,0006021E,SnowDriftL02,228,197,62058,45496,91059,3850.6
TREE,000B8A67,TreeSwordFernCluster05,228,119,26548,-33032,79661,1786.6
STAT,00018127,RoadChunkM03,221,138,-5505,-12182,92509,2557.6
STAT,0003F863,RockPileS01TundraRocks,219,136,-38671,13330,49363,625.7
MISC,000319E3,BasicTankard01,219,99,37363,-9381,119104,4250.7
STAT,000201F6,MountainCliff02_LightSN,218,199,-8226,9299,135713,5852.1
STAT,0004DC5C,MountainTrim01ReachGrass01,218,162,-138755,17881,37973,545.1
MSTT,0002F259,FXAmbSnowBlowingSm,217,108,59607,23469,101976,3232.3
TREE,000BCF48,TreeFloraCabbage01,215,22,-3289,-7360,95815,2521.6
TREE,000B927D,TreePineForest04Dead,215,108,18627,37087,95541,1610.2
STAT,0005B506,RockPileL03Snow_HeavySN,213,174,48537,27626,100337,4128.5
STAT,000775FD,MountainTrim01CoastBeach01,212,199,22342,134702,102077,1528.8
STAT,00021E70,RockPileS01FieldGrass01,210,127,-40215,6889,47947,659.2
STAT,000B788A,TreePineForestLog01Blank,208,173,41667,83456,125662,4402.2
FLOR,000B03AF,FloraCreepCluster,207,93,130422,-10624,17264,104.9
STAT,0001814F,RoadChunkS04,206,85,16680,-29519,88641,2545.3
MSTT,0001B37E,FXrapidsFallsLine01,206,89,-20857,2524,113123,1921.8
STAT,00044B86,NorExtRubblePile04,205,73,-38307,-7066,109568,3252.8
STAT,0003F63C,ImpExtWallDivider01,205,36,52280,-34119,106706,1424.2
STAT,0006F274,MountainTrimSlab_HeavySN,204,184,56798,24896,112225,5012.8
STAT,000658FD,RockS03Snow,204,64,64552,50302,81722,2621.7
TREE,000B8A6B,TreeFallForestFernCluster02,204,108,109709,-83274,81607,947.3
STAT,000BB8BC,RockL01Wet,203,131,29956,23571,118018,4139.8
STAT,000008A6,FenceWoven01,202,33,41039,-12105,119107,2668.3
STAT,0000099E,StonewallEndL01,202,59,14467,-6957,113528,2865.0
STAT,000009A0,StonewallEndR01,201,57,16067,-6674,114323,2861.9
TREE,000B927B,TreePineForest02Dead,201,107,8177,40133,92154,2204.2
MISC,00012FDF,Bucket01,198,140,26370,-6469,119116,4066.4
STAT,000B0106,RockPileS04,196,157,-11790,2345,110604,3326.1
TREE,000BB950,TreeFloraHangingMoss02,191,113,-135552,17587,40899,836.1
MSTT,00077773,FXMistLow01HalfVis,190,146,14042,-4047,118596,4117.5
ACTI,0006B44D,critterSpawnPond_Deep,190,138,12145,25796,146247,4264.5
STAT,00050385,MountainCliffSm01,188,178,-18913,4637,132549,5387.8
STAT,0001EF3B,RockCliff02Snow01,187,169,31674,38209,113816,3978.0
STAT,0009D4F6,IcicleBigSingle01,186,70,90724,37188,96063,3088.0
STAT,00052FB3,RockPileM02PineForest02,185,126,3588,-27995,105530,1959.3
STAT,00018145,RoadChunkM04,184,119,-10634,-247,96449,2507.7
STAT,000A6F9B,IcicleSmallSingle,183,80,65575,22201,102362,3392.3
ALCH,0006A07E,DummyPotion,182,101,5654,8213,126266,3920.9
STAT,000BB8BD,RockL02Wet,182,115,38285,12264,112374,3930.6
SOUN,000B601E,AMBWaterfallRapidsMedium,175,106,-29825,1716,106368,2093.4
FLOR,00108EE2,TreeReachTreeStump01MoraTapinella,174,148,-55324,47459,108960,2763.8
TREE,000B8A75,TreeReachTreeStump01,174,148,-55324,47459,108960,2763.8
STAT,0005AD48,MineScaffoldFreeRopeEnd01,174,29,21352,2063,107414,2977.5
STAT,00041B8E,RockPileM02ReachGrass01,174,110,-139554,33833,42906,1273.3
FURN,0001E595,DragonPerchTower,173,103,3481,14770,107651,3525.7
TXST,00027D51,DecalBloodSprayGroundSmall,169,81,6535,86,118910,3869.2
STAT,0009D4BC,IcicleBigClump,167,74,89207,23010,99618,3077.4
TREE,0005C072,TreePineForestSnow01,166,123,22874,39212,128312,3946.7
STAT,0009704B,RockPileM02TundraRocks01,166,61,-66750,38096,36399,531.0
STAT,0004CCD8,MountainTrim02_HeavySN,164,156,39826,17562,120069,4951.7
STAT,000533C0,StockadeScaffoldTop0Sided01,163,49,31472,-28104,125415,3012.6
STAT,0001EF4C,RockPileS01Rocks01SnowLight,162,115,74987,29177,93115,3371.6
STAT,000B2417,RockPileM02CoastBeach01,161,103,-37830,122244,91982,1158.1
TREE,000BB952,TreeFloraLeek01,160,21,15427,12432,110974,2519.5
STAT,0005B508,RockPileL01SnowSnow,160,120,56367,44026,80337,2243.5
STAT,000B353E,RockPileS04Rocks01,159,113,-800,-338,120551,3150.5
TREE,000B8A68,TreeSwordFernCluster06,158,89,27440,-32276,86823,1826.6
STAT,0006EBCD,TreeAspenStump01,157,121,132987,-84397,40113,441.9
ACTI,00080C32,CWCatapultStrikeSpawner,156,33,19517,4815,129182,2083.6
STAT,000B788B,TreePineForestLog02Blank,156,131,42963,94297,124943,4190.5
ACTI,000E1FB2,TreeFloraNirnroot01,155,135,-33953,42211,127248,4332.1
MSTT,000A846A,FXDrips01_More_Wider,155,52,96726,95362,32644,427.0
TREE,000B927C,TreePineForest03Dead,154,75,-10876,50619,81326,2174.3
STAT,00024D15,RockCliff06Snow,153,125,56473,34644,100204,3789.7
TREE,000BE3E0,TreeFloraSpikyGrass01,153,87,-30302,113598,88489,3031.0
STAT,000C4AC4,TreePineForestLogSm01,152,126,14651,-5597,114652,4128.3
TREE,000AAE79,TreeTundraShrub01,152,82,116,-7225,68619,1007.2
MSTT,000B15E4,FXMotesForest01,152,81,58544,-36981,93235,2053.0
LIGH,000AF8BA,LightCampFire01,151,142,16277,4653,123929,4478.9
STAT,0003F96F,ImpExtBldgMid01,150,26,51765,-38190,109178,2133.6
STAT,0003A2BD,TundraScrub02,149,101,20565,-9505,82519,1509.7
STAT,00043321,MountainPeak01_HeavySN,149,142,27860,-20962,139101,6184.4
STAT,0002C698,RoadChunkM01,149,99,-12138,-2374,99935,3107.1
STAT,00055036,MountainTrim01PineForest02,149,131,8062,-10323,114720,2375.4
STAT,0002D847,CandleLanternwithCandle01,147,108,22749,21045,128608,4272.6
STAT,000A6F92,IcicleSmallClump,146,79,79025,29013,97573,3370.2
STAT,00056B0F,RockPileS01ReachDirt01,145,89,-136926,16472,40973,470.5
STAT,0006021D,SnowDriftL01,144,127,46767,31633,100543,3491.8
TREE,000B73BA,TreeSwordFern02,144,66,24788,-1961,90965,1220.7
STAT,00024BC5,RockCliff01Snow01_HeavySN,143,118,19605,21293,110760,3684.8
STAT,0001E93E,RoadCurveLong45R01,143,125,-922,-7755,99512,2476.1
TREE,000BB94F,TreeFloraHangingMoss01,142,69,-124819,24581,52803,1234.4
STAT,0003F957,ImpExtRubble04,141,53,29260,-36156,113183,2702.2
STAT,000B353D,RockPileS03Rocks01,140,99,11806,-6747,132704,3424.3
TREE,000B73C2,TreeSwordFern06,139,53,45387,-12571,71201,1035.6
STAT,00070E3E,TreeAspenLog01,139,115,130871,-81071,41675,443.6
STAT,00028A64,NorTmpExtPlatFloorRaised01Snow,138,35,12805,-4319,108611,3170.7
STAT,0005B7DF,RockCliff07PineForest02,138,112,-35801,-8653,99601,2080.1
FLOR,0007E8B8,FloraSwampFungalPod01,136,42,-41204,78411,13457,63.8
FLOR,0007E8C2,FloraGiantLichen,136,37,-37964,77742,12828,51.4
ACTI,0004A5EE,WETrigger,135,134,6376,9971,125458,4052.4
FURN,000AA934,DragonPerchRockL02,134,90,7812,-9137,107852,3162.9
STAT,00024C94,RockCliff04Snow,134,118,27276,29421,112380,3952.5
STAT,00020F27,RockPileM02Rocks01Snow,134,81,24596,15467,109165,3911.3
STAT,0003A2BC,TundraScrub01,132,90,-16075,3318,63957,944.4
TREE,000B73B8,TreeSwordFern01,132,64,45456,-15894,80675,1240.1
STAT,0004195C,MountainTrim01ReachDirt01,132,100,-141407,34377,28862,367.1
STAT,00039224,RockTundraLand01Tundra01,131,99,-36821,-587,49704,493.8
STAT,0003F95C,ImpExtRubble03,131,46,27968,-34254,102803,1973.2
STAT,0009E126,RockPileS01VolcanicDirt01,131,64,125329,-11005,17721,86.9
FURN,00052FF5,WallLeanMarker,130,86,24076,8523,125108,4120.1
STAT,000800E2,NorTentSmall,130,58,15708,-4691,123884,3437.0
STAT,0001EF89,RockPileM01Rocks01,130,106,80571,-39986,108003,3303.2
STAT,000B7889,TreePineForestCutStump02,130,42,23217,-50488,115950,1934.0
FLOR,0007E8C9,BirdsNest,129,89,-103677,-1385,81957,2606.2
TREE,000B8A66,TreeSwordFernCluster04,129,84,44340,-24548,83483,1742.5
STAT,00045AB4,MountainPeak01,128,120,-25018,-18253,114737,3833.9
ACTI,00073EDE,CWThreatTrigger,128,40,5889,24857,118849,3016.0
STAT,000398A8,RockPileS02TundraRocks01,128,63,-51346,13584,43585,673.1
FLOR,00023CFF,BirdsNest02,127,79,43695,-43559,126445,3759.1
STAT,00054CE8,TreePineForestLog01Heavy_SN,126,120,57542,36885,81240,3393.3
STAT,000F1FF1,IcePileS04,126,65,97160,99083,25352,180.4
MSTT,0001CCBC,FXrapidsBig01,126,95,-19299,7074,120935,3344.6
STAT,00013251,TreePineForestStump01,125,110,14641,-19541,105360,2995.0
STAT,0005AD40,ImpExtFloorChunk01,125,35,45562,-24622,99406,2219.3
MSTT,000D11EE,FXLargeSplashChurnWater,124,69,84794,-13898,91039,2429.0
STAT,00019B13,HayMound01,123,65,24255,-2596,118693,3428.7
STAT,00092217,IceFloesSolid02,123,112,94697,120892,86703,1239.0
STAT,000CD0F1,TreePineForestLogSm01_HeavySN,123,86,78344,52764,38750,412.6
MSTT,00073CC1,BoneDeerSkull,122,90,53798,-17375,117125,3908.2
STAT,000B2418,RockPileS01CoastBeach01,122,73,-47156,120395,87708,441.1
STAT,0001C435,RoadStraight02,122,97,-854,1252,101481,2628.5
CONT,00097F54,MiscSackLarge,121,67,17285,15986,120300,3839.4
MSTT,000C2BFE,ShipwreckBoards03,121,15,51120,113674,101472,433.9
STAT,00054C32,RockCliff02PineForest02,121,100,-41670,13705,110159,2013.7
TREE,000B73C0,TreeSwordFern05,120,49,52325,-18584,66681,781.8
TXST,0008B1F6,DecalBloodSprayGroundMedium,119,58,-24719,15817,121590,3817.8
STAT,0003925C,RockTundraLand02FieldGrass01,119,115,-32428,3211,48236,623.7
STAT,000185B2,FirewoodPileLarge01,119,73,-3278,-24393,109432,3791.6
STAT,0003ABE3,RockPileL04TundraRocks01,119,111,-36736,2410,50902,637.8
STAT,00060222,SnowDriftL03,118,109,46155,43663,93498,3607.2
STAT,000BB8BF,RockL04Wet,118,86,24756,20149,118810,3729.2
STAT,00030434,CW2MissileCloseDefender,116,37,7134,22250,112797,3064.3
LIGH,00088238,DefaultCandleLight01NS,116,80,4803,20319,128218,3861.7
STAT,0005C19B,RockM04Snow,116,85,56763,35915,78121,2242.9
STAT,0003F959,ImpExtRubble06,116,44,8748,-22987,110262,2272.9
STAT,0003F201,ImpExtWall01,115,29,14014,-34184,102697,1887.7
IDLM,0008F17B,IdleFarmingMarker,114,36,49212,-23920,113064,3189.1
MSTT,0001B368,FxRapidsRingHeavy,114,96,-39968,-1260,106048,2957.3
MSTT,00073CBE,BoneDeerSkullHorned,113,81,42866,-18206,119828,3499.5
STAT,00026FD2,NorTmpExtPlatCorOut01Snow,113,44,-4390,16624,84060,3078.7
STAT,0004E78F,RockPileM02ReachMoss01,113,64,-142583,19841,36638,378.5
TREE,000E9625,TreeReachMntMossCover04,112,63,-129101,39349,22119,158.4
STAT,00027D1D,MountainCliff04,111,106,-2031,12652,145221,5062.5
STAT,0002695D,RockS01Snow,111,65,61588,6922,95823,2988.1
STAT,00030432,CW1MissileCloseDefender,110,38,6705,23951,115648,3078.7
STAT,0003ACCB,RockCliff02FieldGrass01,110,92,-39328,12451,55720,680.2
STAT,00013250,TreePineForestLog01,110,105,-13607,-17108,111740,3240.3
FURN,000A4AD6,FarmBench01F,109,66,-10005,17465,111147,3699.6
IDLM,000A2BBF,BrowseIdleMarker,109,48,1093,15089,113492,3335.5
FLOR,000EC7E7,TreePineForestStump01MoraTapinella,109,97,11066,-19493,110649,3003.6
STAT,00073CE6,BoneMammothRibsBroken,109,69,26464,-5506,97101,3834.7
STAT,0005A835,StockadePike01,109,27,-10399,-37513,118029,2065.8
STAT,00064EC6,RockPileL02Snow01Heavy_SN,109,102,43728,48385,84336,2288.9
STAT,0006F768,ImpExtIceBldgMid01,108,17,44741,36315,85224,1907.6
FLOR,000ECE21,TreePineForestLog01MoraTapinella,108,103,-18514,-16156,110753,3240.3
SOUN,0002246F,AMBWindloopMountainsALP,108,103,15569,-8721,125875,4515.2
STAT,00030419,CW5MeleeWideAttacker,107,35,23404,29160,115943,3162.5
STAT,00019B19,HayScatter05,107,58,25168,9704,124917,4099.2
STAT,00044B87,NorExtRubblePile05,107,71,-31110,313,120672,3877.6
STAT,0002EDA0,RockPileL03Rocks01,107,87,103631,-51239,99883,2966.8
FURN,0003B3CD,Bedroll01F,106,55,25616,5045,114288,3388.8
MSTT,0003E6A7,BoneHumanBloodyBone,106,31,13027,11161,127972,2978.0
TXST,00018EDE,DecalBloodSprayGroundMediumSmall,105,56,22153,2616,123650,3699.9
TXST,0001F828,DecalBloodSprayGround,105,35,-6029,27776,99501,3249.6
STAT,000E7593,FrozenMarshIceFloeChunkS03,105,39,-30635,95768,29441,261.1
AMMO,0001397D,IronArrow,104,30,-13844,-7431,100881,2822.0
STAT,00024C61,RockPileL02Rocks01,103,82,90638,-45647,100314,2737.4
STAT,0004F8F6,ShipWoodBeamStraight01,103,7,8187,115331,78876,451.8
CONT,0003AC21,TreasBanditChest,102,91,10574,7802,116210,4077.7
STAT,0003042F,CW5MeleeWideDefender,102,31,24589,33407,116652,3165.1
STAT,0005D041,TreePineForestStump01Snow,102,96,30070,45461,93745,3771.5
IDLM,0004240B,WarmHandsIdleMarker,101,67,-89,7294,116174,3568.8
MISC,00031941,BasicWoodenPlate01,101,56,33030,-4893,117822,3395.8
