sig,formid,editor_id,n,cells,cx,cy,rg_units,hull_cells2
STAT,02031D5B,DLC2DragonBoneLeg_R_Snow,27,7,60735,54635,5419,4.0
?,000613A7,<000613A7>,26,21,51768,56618,26051,161.1
?,0005AD48,<0005AD48>,26,4,43605,40779,20226,48.2
STAT,0201D9DD,DLC2IcePileL01Snow01,26,14,38797,86658,13608,43.8
?,0004F8EC,<0004F8EC>,26,7,42800,25031,32786,120.2
?,000BE3E0,<000BE3E0>,25,18,40201,26902,22867,128.4
STAT,02032A61,DLC2StalhrimOrePile02,25,3,29080,79447,4195,0.6
STAT,0201E0B4,DLC2RockL05_Ash,25,19,62911,39212,20632,59.2
?,0004F8E9,<0004F8E9>,25,15,62549,55173,36730,129.0
?,00060093,<00060093>,25,17,66952,68110,12003,38.4
?,0003DF55,<0003DF55>,24,24,46117,44560,27240,189.0
TXST,0202A765,DecalRiekling,24,5,46013,70457,16088,54.6
?,000F0155,<000F0155>,24,7,49462,60120,26643,87.6
ACTI,02027E53,ApoControlRingColumn01,24,5,49780,54390,27865,103.6
?,000DB6E1,<000DB6E1>,24,24,44293,51626,39495,311.1
TREE,02017F6E,DLC2TreePineForestAshL01,24,17,49350,47396,14178,35.8
CONT,0203AB50,DLC2DarkElfUrn01AshYams,24,5,30072,35721,2571,1.3
STAT,0201B92B,DLC2GlacierTrim01,24,12,39014,87129,10561,26.8
?,0003F96F,<0003F96F>,24,5,53640,22714,7434,5.1
?,000800E2,<000800E2>,24,8,58162,43397,27900,88.6
?,0004D9FF,<0004D9FF>,24,7,73012,31696,4435,3.6
?,00031941,<00031941>,23,10,47581,57525,29715,178.3
?,000F9AA2,<000F9AA2>,23,5,50918,54693,27101,105.3
STAT,0201EEE9,DLC2RieklingFence02Snow,23,5,33822,77860,18908,63.3
?,0009D4F6,<0009D4F6>,23,10,44971,80817,23690,65.6
?,0006021E,<0006021E>,23,21,49933,70206,17196,67.6
?,0006F275,<0006F275>,23,22,45536,71089,16870,59.4
STAT,02019A2D,DLC2RockM03_Ash,23,17,47662,27196,16380,74.7
?,0010EAF1,<0010EAF1>,22,7,59452,74652,18459,41.9
?,0001EF47,<0001EF47>,22,16,57986,70513,18304,70.5
?,000B73EB,<000B73EB>,22,16,50963,61646,24570,75.2
?,000008A7,<000008A7>,22,1,35006,22190,1222,0.2
STAT,0202000C,AshScatter06,21,4,29695,33589,2963,1.5
STAT,020195FD,DLC2MountainTrim01VolcanicAsh01,21,16,47025,32619,15085,46.3
?,000C43B0,<000C43B0>,21,5,44995,52195,28540,110.9
STAT,02016E11,DLC2RockPileM01VolcanicAsh01,21,17,48667,37463,12816,43.6
?,0001819A,<0001819A>,21,17,50443,44960,28341,173.5
?,000C2C13,<000C2C13>,21,10,34418,66227,36233,166.1
STAT,0201E0B7,DLC2RockS01_Ash,21,14,58641,29866,16285,41.3
?,000533D5,<000533D5>,21,4,54020,56748,11459,4.9
?,0009DAA2,<0009DAA2>,21,15,64727,63615,13844,36.6
STAT,02020006,AshMoundL01,20,4,34214,32694,7427,4.5
?,00025DA8,<00025DA8>,20,20,39341,54021,36174,231.7
?,000201F4,<000201F4>,20,20,45080,21661,38062,313.6
?,00024E22,<00024E22>,20,14,38924,65247,24787,104.6
?,0002B86C,<0002B86C>,20,2,46152,62144,20853,1.3
STAT,0201BE26,DLC2RockPileM02Rocks01AshTundra01,20,9,73232,50590,12835,28.7
?,0001B0A7,<0001B0A7>,20,13,68624,67796,21880,109.8
?,0010E9EB,<0010E9EB>,20,7,42271,76304,6547,7.6
?,0003E69D,<0003E69D>,20,6,73149,68922,20210,52.4
STAT,02031B44,DLC2RoadChunkM02,19,9,31008,31904,7109,4.3
?,0003E62F,<0003E62F>,19,7,30474,35875,4309,3.3
CONT,02024FA5,DLC2RRF05Strongbox,19,19,50560,61125,31595,223.8
SOUN,02034282,AMBWaterCoastWavesHi3DLPMarker,19,17,60890,69778,32083,210.7
STAT,020185ED,DLC2TreePineForestStump01Ash,19,16,53021,36214,13671,34.1
?,000F08F9,<000F08F9>,19,1,38698,26416,93,0.0
?,0004F8F6,<0004F8F6>,19,4,43901,49781,28815,54.3
STAT,02031D62,DLC2DragonBoneWing_L_Snow,19,7,59508,54831,5748,3.9
STAT,02031D61,DLC2DragonBoneTorso_Snow,19,7,59444,54850,5677,3.8
STAT,02031D5C,DLC2DragonBoneNeck_Snow,19,7,59454,54790,5726,3.7
STAT,02031D59,DLC2DragonBoneHead_Snow,19,8,59438,54774,5736,3.5
STAT,02031D63,DLC2DragonBoneWing_R_Snow,19,8,59378,54807,5691,3.4
?,00052FB3,<00052FB3>,19,13,51665,48601,15160,24.8
?,000A4657,<000A4657>,19,1,42264,83554,583,0.1
?,000396AA,<000396AA>,19,15,83599,62770,15095,39.1
FURN,02024FB9,DLC2ScribGroundAmbush01,18,8,41501,31667,12073,23.9
?,000C4827,<000C4827>,18,7,78858,48571,19250,66.7
?,0004318B,<0004318B>,18,6,30702,35206,3177,1.8
?,000BB8BD,<000BB8BD>,18,15,69956,65798,24789,105.3
?,000B6337,<000B6337>,18,14,52663,48106,25393,125.0
STAT,020217D5,DLC2BasaltRubblePile01_Ash,18,10,41385,25525,16266,30.7
?,000BCF3D,<000BCF3D>,18,6,62381,59013,21137,14.4
?,0006021F,<0006021F>,18,14,46682,71179,21530,80.8
?,00019AF7,<00019AF7>,18,15,43965,60085,30531,159.6
?,000226BA,<000226BA>,18,13,31103,61011,25865,167.6
STAT,0201E0B3,DLC2RockL04_Ash,18,17,50221,30892,10902,35.2
?,00039691,<00039691>,18,14,69863,52021,31323,165.2
?,0005D2D7,<0005D2D7>,18,11,72208,60548,13298,16.1
?,000984A5,<000984A5>,18,3,45558,77941,8374,1.3
?,0009A7F9,<0009A7F9>,18,3,44433,79475,7693,1.9
?,0002EB0E,<0002EB0E>,17,2,70234,28526,19607,6.3
STAT,0201EEEB,DLC2RieklingFenceEndSnow,17,5,51811,80583,22932,63.1
STAT,0201D9D7,DLC2IcePileM02,17,11,37820,76977,17534,37.2
STAT,020250A3,DLC2RockCliff01VolcanicAsh01,17,11,61983,38177,7779,15.5
?,00065FE3,<00065FE3>,17,2,55965,50154,1214,0.3
?,00052C25,<00052C25>,17,2,56078,50209,1215,0.3
FURN,02034F98,DLC1GroundAmbush01,16,7,55132,28797,17356,42.7
?,00052FF5,<00052FF5>,16,10,49584,46387,29844,120.6
ACTI,02027E52,ApoControlRingArch01,16,5,51609,57409,26843,103.6
?,000B23FD,<000B23FD>,16,15,35227,49214,35610,234.8
STAT,0203A11C,DLC2Barrel02Static_LightAsh,16,3,41670,32748,24180,4.2
?,00018195,<00018195>,16,11,42681,38678,30867,134.0
?,00086920,<00086920>,16,15,54579,40458,37166,101.2
?,0001A6E2,<0001A6E2>,16,13,49265,36312,25170,109.7
?,00060222,<00060222>,16,13,39417,74427,16868,63.1
LIGH,02033970,DLC2RRLightForgeFire01,16,6,38417,42116,22107,19.3
?,0000000F,<0000000F>,16,1,24895,93176,24,0.0
STAT,0201D9DB,DLC2IcePileS04,16,10,36861,85690,14911,35.8
STAT,0201D9DC,DLC2IcePileL01,16,9,30620,76185,17686,23.9
?,000993D5,<000993D5>,16,3,34044,80451,6665,1.0
?,000B4A7E,<000B4A7E>,16,13,69566,77427,25051,84.8
?,000B601E,<000B601E>,16,11,51992,71486,16852,52.8
?,0003F974,<0003F974>,16,5,54319,23354,8691,4.9
?,000B09E4,<000B09E4>,16,8,48795,46839,27136,102.4
?,000A7313,<000A7313>,16,9,54749,60119,21067,30.7
?,000C2C1D,<000C2C1D>,16,9,65151,74264,16393,48.2
?,0008B1F6,<0008B1F6>,15,4,66567,56631,24953,44.3
?,0006A07E,<0006A07E>,15,7,40679,54868,28540,87.6
?,00034C5D,<00034C5D>,15,3,52786,48985,17686,12.8
?,000727A1,<000727A1>,15,9,52391,55908,29172,144.8
?,000B7879,<000B7879>,15,13,61271,54150,31956,176.3
CONT,0203A609,DLC2DarkElfUrn01Food,15,3,30980,33778,2158,0.6
?,000396A4,<000396A4>,15,13,58258,59626,33880,118.5
STAT,020195F0,DLC2TreePineForestBroken01Ash,15,15,51393,34361,19077,63.3
?,00018BA5,<00018BA5>,15,8,65890,43183,21062,66.8
?,00050368,<00050368>,15,10,46164,56924,35256,181.6
?,000F5D05,<000F5D05>,15,7,46138,46419,31564,125.7
STAT,02016E0D,DLC2RockPileL04VolcanicAsh01,15,12,54487,35465,15421,48.7
?,0002D847,<0002D847>,15,9,44186,52260,30216,174.8
?,0004F8EA,<0004F8EA>,15,13,61863,59250,36720,103.5
?,000B6098,<000B6098>,15,11,47874,72722,18137,61.7
?,00071D06,<00071D06>,15,5,64064,39727,6049,1.8
?,00074C8C,<00074C8C>,15,1,37954,25763,422,0.0
?,0005D2D9,<0005D2D9>,15,8,72836,60170,6435,8.2
STAT,02031D5F,DLC2DragonBoneTail_Segment02_Snow,15,8,58120,55458,5522,3.2
?,000BCF3E,<000BCF3E>,15,6,70720,52159,7213,7.9
TREE,02017F72,DLC2TreePineForestAsh01,15,10,52511,39440,9180,14.9
STAT,0201E137,DLC2TreeMushroomTree02,15,8,74546,28582,5010,4.5
?,000A6E56,<000A6E56>,14,7,30062,33677,3374,2.5
STAT,0202000B,AshScatter05,14,3,29384,34058,2933,1.2
STAT,0203BD68,AshMoundLHalf02,14,6,34714,32335,12518,7.8
STAT,02031B47,DLC2RoadChunkS01,14,6,31188,30854,8204,4.2
?,00000845,<00000845>,14,7,36132,51900,19251,83.5
?,00088238,<00088238>,14,6,54444,33773,28305,95.3
?,0009D4BC,<0009D4BC>,14,9,45085,76905,24612,67.3
?,00097F6E,<00097F6E>,14,9,52349,50755,28488,115.9
SOUN,02039B36,AMBWaterCoastWavesLo2DLPMarker,14,14,63916,71016,31346,207.9
?,000DCE8A,<000DCE8A>,14,8,55522,68679,34803,145.1
?,00024C94,<00024C94>,14,14,51214,78861,14768,20.9
?,000201F6,<000201F6>,14,14,54786,80370,21924,84.9
?,0005C19B,<0005C19B>,14,11,66605,71360,12948,21.4
STAT,02031D5E,DLC2DragonBoneTail_Segment01_Snow,14,6,57417,55615,4937,2.7
?,000B91F8,<000B91F8>,14,11,64080,58837,15763,29.3
MSTT,020391F1,DLC2TelvanniTorchLightFX,14,1,75482,23732,1039,0.2
FURN,02034EF5,DLC2StonePile,13,6,45776,50311,27952,109.2
?,0004240B,<0004240B>,13,7,51583,49652,23637,90.2
?,000C4EFD,<000C4EFD>,13,7,67184,61982,22160,62.8
ACTI,020295CB,DLC2MineOreHeartStone01VolcanicAsh01,13,10,58808,28473,17011,53.4
STAT,02020005,AshMound02,13,5,33682,33931,9746,4.3
?,00029D98,<00029D98>,13,12,46338,45587,35213,174.5
?,000EF59E,<000EF59E>,13,9,50086,64296,24992,31.0
?,000B353E,<000B353E>,13,12,38171,68149,25844,117.3
CONT,0202C462,DLC2TreasExplorerLootChest,13,11,45970,69970,33732,200.7
?,000EF0D7,<000EF0D7>,13,7,46316,37019,27265,93.4
STAT,0201E8B9,MountainTrim01VolcAshTundra01,13,8,52645,45857,27066,34.2
STAT,0201BE28,DLC2RockPileL03VolcanicAshTundra01,13,8,60857,48945,24015,22.2
?,000C2C15,<000C2C15>,13,11,51162,67085,37433,254.4
?,000C2C16,<000C2C16>,13,6,40321,33276,30988,138.3
STAT,0202864A,DLC2CliffBasaltStraight_Ash,13,10,41986,28021,15430,24.1
STAT,0201D9E8,DLC2GlacierRubbleTrim01,13,9,34302,89910,8081,9.5
STAT,0201B927,DLC2GlacierEndLg01,13,9,39793,78282,16737,33.2
?,000B010B,<000B010B>,13,3,34314,64427,39204,9.6
STAT,0201D9D8,DLC2IcePileL02,13,12,37581,79426,17955,41.6
?,000533BE,<000533BE>,13,7,57002,48110,19968,45.1
?,0005C19C,<0005C19C>,13,7,66695,67530,18717,11.8
?,000609E0,<000609E0>,13,4,44631,82742,3590,1.7
STAT,0201E149,DLC2TreeMushroomTreeGroup01,13,8,72702,29831,4101,3.9
TREE,0201FF65,DLC2TreeFloraHangingMoss02,13,4,73029,30008,1979,0.7
FURN,0201D8C7,DLC2InvRieklingGroundAmbush,12,6,24908,70567,11414,14.9
?,000C1D83,<000C1D83>,12,3,77850,55471,31214,2.7
?,00106A6E,<00106A6E>,12,5,57533,42076,28148,69.8
ACTI,0201AA28,DLC2WETrigger,12,12,44600,57151,32864,208.2
?,000B23FE,<000B23FE>,12,9,36058,41515,35509,186.7
STAT,0201EEEE,DLC2RieklingTotemSkullSnow,12,6,39127,76334,15900,31.0
?,00060223,<00060223>,12,7,32532,70034,10868,14.8
?,0008D123,<0008D123>,12,11,44055,65313,18049,51.5
?,000AE720,<000AE720>,12,10,30996,98063,11616,6.0
?,000CE70B,<000CE70B>,12,3,30843,81360,30072,85.0
?,000B60E1,<000B60E1>,12,11,44737,71088,22572,75.8
?,00097F6A,<00097F6A>,12,6,50291,51255,26225,103.1
STAT,0201D4D6,DLC2RieklingSkull02,12,6,54663,71895,23051,59.1
STAT,0201D4D7,DLC2RieklingSkull01,12,6,53977,71165,23169,58.5
?,0008771D,<0008771D>,12,7,44090,56254,20053,90.4
STAT,0202BD9A,NorRmShaftBeam01sn_Heavy,12,2,32717,78004,6182,0.6
ACTI,02032CD6,DLC2MineOreStalhrim,12,2,28968,82279,7978,0.6
STAT,020250A0,DLC2RockCliff02_Ash,12,9,48324,38442,10578,18.7
STAT,02031D60,DLC2DragonBoneTail_Segment03_Snow,12,5,56539,55712,4667,2.7
STAT,02020FE0,DLC2DweClutterColmLarge01,12,6,74892,43994,13079,3.3
STAT,02020749,DLC2DweRubblePile01,12,6,77034,43509,13132,5.5
STAT,0202073D,DLC2DweFloorRaised01,12,4,71310,45756,13614,3.5
STAT,02027862,DLC2DweFloorRubbleFlat01,12,5,82101,41202,8467,4.9
STAT,0201DFF8,DLC2DweFacadeBalconyMid01,12,3,82709,41745,900,0.1
?,0001819B,<0001819B>,11,7,39595,53940,25921,76.1
?,0001C0C0,<0001C0C0>,11,7,44891,41334,26458,123.2
STAT,020217D7,DLC2CliffBasaltMound_Ash,11,8,50743,25604,24001,31.7
?,000BCF33,<000BCF33>,11,7,56278,60708,18035,37.3
?,0004CCD8,<0004CCD8>,11,11,44624,69853,17191,55.7
?,0010D9C1,<0010D9C1>,11,5,32075,58715,13968,27.5
STAT,02018666,Barrel02Static_LightSN,11,4,36103,73325,23557,27.1
?,000C2C1B,<000C2C1B>,11,6,37744,52308,26426,139.7
?,00097F6C,<00097F6C>,11,9,39363,69730,29254,166.2
STAT,0201B928,DLC2GlacierPillarLg01,11,5,33552,91081,4210,2.8
STAT,0201DA4B,DLC2IcebergSmall01_LightSN,11,8,39977,71462,18048,36.1
?,000B8A71,<000B8A71>,11,2,53025,83123,36291,5.7
?,00023969,<00023969>,11,2,29033,80649,6123,0.6
?,00098E90,<00098E90>,11,11,48374,63660,15538,31.2
?,000D2009,<000D2009>,11,4,49373,21543,7911,2.5
?,0003F93B,<0003F93B>,11,7,55272,26452,9748,10.7
?,0003F93C,<0003F93C>,11,3,53005,26764,8594,9.6
?,0002ED7A,<0002ED7A>,11,10,47976,66901,16022,43.6
STAT,02031D5A,DLC2DragonBoneLeg_L_Snow,11,5,56223,55485,4840,2.4
?,000EF5A4,<000EF5A4>,11,10,65137,70649,10169,22.6
STAT,0201F159,DLC2DwePlatBgWall01,11,3,55957,50318,1837,0.7
?,0005ACDE,<0005ACDE>,11,2,52746,46153,14094,0.1
?,000BB8BE,<000BB8BE>,11,8,77419,65871,15568,44.3
?,000AAE7A,<000AAE7A>,11,3,72647,56349,4444,0.5
FURN,0202A8DD,DLC2BenthicLurkerAmbushFurniture,10,9,54592,46389,30606,152.3
?,0004C6EA,<0004C6EA>,10,10,50827,52607,29006,161.7
?,0007872B,<0007872B>,10,3,40733,33024,23645,72.5
STAT,02039E61,DLC2RRBannerPost01,10,6,30503,33910,3644,2.2
MSTT,02038451,DLC2BannerRedoran01,10,5,29922,32778,3364,1.6
?,000F5D06,<000F5D06>,10,7,42817,42535,26763,114.6
?,000533BA,<000533BA>,10,7,47735,50097,23897,111.9
?,000B2418,<000B2418>,10,9,42124,19904,17822,27.2
CONT,0202AABE,DLC2TreasBanditChest,10,9,44465,54321,36369,182.5
?,0003B6A3,<0003B6A3>,10,9,43839,66128,15920,35.8
?,000B2400,<000B2400>,10,8,41011,47155,35683,178.5
?,00045AB4,<00045AB4>,10,9,54798,57415,34572,114.3
?,000C2C1A,<000C2C1A>,10,6,39978,70324,31115,125.2
STAT,0201E0B2,DLC2RockL03_Ash,10,9,44380,34065,12206,25.5
FLOR,020195DD,DLC2FloraCreepClusterAshRock,10,7,41652,37989,14641,13.1
STAT,02031B3D,DLC2RoadChunkL02,10,4,29623,33176,6422,2.4
STAT,0201D9D9,DLC2IcePileS02,10,8,38701,82932,14887,33.8
?,0009D45F,<0009D45F>,10,8,45209,72422,16535,27.5
?,0003F201,<0003F201>,10,7,60745,34535,10802,4.8
?,0003F975,<0003F975>,10,4,54333,23802,8010,5.0
